[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[INGEST] Read error: error decoding response body
[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[BOT  ]    www.wikidata.org | drift=0.16ms | exec=0.08ms | total=0.25ms | DEADLINE MET 
[BOT  ]    fr.wikipedia.org | drift=0.43ms | exec=0.07ms | total=0.50ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.06ms | exec=0.07ms | total=0.13ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.20ms | exec=0.11ms | total=1.31ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.30ms | exec=0.12ms | total=1.42ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.96ms | exec=0.11ms | total=1.07ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=0.18ms | exec=0.08ms | total=0.26ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=0.20ms | exec=0.07ms | total=0.27ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.05ms | exec=0.07ms | total=0.12ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.75ms | exec=0.07ms | total=0.81ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.24ms | exec=0.08ms | total=1.31ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=1.55ms | exec=0.05ms | total=1.60ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=1.21ms | exec=0.07ms | total=1.28ms | DEADLINE MET 
[HUMAN]    he.wikipedia.org | drift=0.83ms | exec=0.05ms | total=0.89ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.36ms | exec=0.21ms | total=1.57ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.30ms | exec=0.08ms | total=0.38ms | DEADLINE MET 
[HUMAN]    bn.wikipedia.org | drift=0.22ms | exec=0.09ms | total=0.30ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=0.09ms | exec=0.08ms | total=0.17ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.01ms | exec=0.06ms | total=0.07ms | DEADLINE MET 
[HUMAN]    zh.wikipedia.org | drift=0.10ms | exec=0.04ms | total=0.14ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.86ms | exec=0.17ms | total=1.04ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.15ms | exec=0.03ms | total=0.18ms | DEADLINE MET 
[BOT  ]    fr.wikipedia.org | drift=0.09ms | exec=0.11ms | total=0.21ms | DEADLINE MET 
[HUMAN]    id.wikipedia.org | drift=1.28ms | exec=0.08ms | total=1.35ms | DEADLINE MET 
