[INGEST]    Connecting to Wikipedia SSE stream...
[OVERFLOW]  ts=10:12:37.239  dropped=bot  title=File:Mergus merganser merganser.jpg  queue=100/100
[HUMAN]    it.wikipedia.org | drift=2.14ms | exec=0.06ms | total=2.20ms | DEADLINE MISS
[HUMAN]    ja.wikipedia.org | drift=1.55ms | exec=0.04ms | total=1.59ms | DEADLINE MET 
[OVERFLOW]  ts=10:12:37.707  dropped=bot  title=Wikipedia:Version 1.0 Editorial Team/Football season articles by quality log  queue=100/100
[OVERFLOW]  ts=10:12:37.710  dropped=bot  title=File:JR Sagami Line Kagawa Station Gates.jpg  queue=100/100
[OVERFLOW]  ts=10:12:37.712  dropped=bot  title=scioperatamente  queue=100/100
[OVERFLOW]  ts=10:12:37.715  dropped=bot  title=Q139721124  queue=100/100
[OVERFLOW]  ts=10:12:37.721  dropped=bot  title=File:Dorpskerk Spijkenisse dwarsschip, gezien in noordelijke richting - RCE.jpg  queue=100/100
[HUMAN]    vi.wikipedia.org | drift=15.05ms | exec=0.21ms | total=15.26ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=12.57ms | exec=0.20ms | total=12.77ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=7.97ms | exec=0.16ms | total=8.13ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.31ms | exec=0.42ms | total=0.73ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=14.01ms | exec=0.28ms | total=14.29ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=0.33ms | exec=0.09ms | total=0.42ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.49ms | exec=0.06ms | total=0.55ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=3.46ms | exec=0.18ms | total=3.64ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=2.49ms | exec=0.06ms | total=2.55ms | DEADLINE MISS
[OVERFLOW]  ts=10:12:38.265  dropped=bot  title=Q19242887  queue=100/100
[OVERFLOW]  ts=10:12:38.266  dropped=bot  title=File:Photograph of a Typical Bread Line in the Early Stages of Relief Distribution After the 1906 San Francisco Earthquake - NARA - 306190.jpg  queue=100/100
[OVERFLOW]  ts=10:12:38.267  dropped=bot  title=File:Austin Weekly Statesman. (Austin, Tex.), Vol. 18, No. 20, Ed. 1 Thursday, March 28, 1889 - DPLA - 7e55901f48b571607e235eb88e240464 (page 6).jpg  queue=100/100
[HUMAN]    www.wikidata.org | drift=3.49ms | exec=0.06ms | total=3.55ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=1.22ms | exec=0.03ms | total=1.26ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.40ms | exec=0.05ms | total=0.45ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=6.04ms | exec=0.12ms | total=6.16ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=19.11ms | exec=0.12ms | total=19.23ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.63ms | exec=0.16ms | total=0.79ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=13.04ms | exec=0.29ms | total=13.33ms | DEADLINE MISS
[OVERFLOW]  ts=10:12:38.457  dropped=bot  title=File:Dorpskerk Spijkenisse interieur 1933 vóór restauratie - gezicht naar het oosten.jpg  queue=100/100
[OVERFLOW]  ts=10:12:38.787  dropped=bot  title=List of Kazakhstan football transfers winter 2014  queue=100/100
[OVERFLOW]  ts=10:12:38.788  dropped=bot  title=frequenter  queue=100/100
[OVERFLOW]  ts=10:12:38.789  dropped=bot  title=File:Siihtala.jpg  queue=100/100
[OVERFLOW]  ts=10:12:38.792  dropped=bot  title=scioperatezza  queue=100/100
[OVERFLOW]  ts=10:12:38.795  dropped=bot  title=User:WP 1.0 bot/Tables/Project/Football season  queue=100/100
[HUMAN]    www.wikidata.org | drift=3.09ms | exec=0.13ms | total=3.22ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.33ms | exec=0.07ms | total=0.40ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=4.03ms | exec=0.05ms | total=4.08ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.14ms | exec=0.10ms | total=1.24ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.39ms | exec=0.03ms | total=1.42ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.89ms | exec=0.04ms | total=1.94ms | DEADLINE MET 
[OVERFLOW]  ts=10:12:39.239  dropped=bot  title=File:Dorpskerk Terwolde (31352416901).jpg  queue=100/100
[HUMAN]    www.wikidata.org | drift=0.65ms | exec=0.06ms | total=0.70ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.05ms | exec=0.04ms | total=0.09ms | DEADLINE MET 
[HUMAN]    ru.wikipedia.org | drift=4.38ms | exec=0.08ms | total=4.46ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=5.47ms | exec=0.20ms | total=5.68ms | DEADLINE MISS
[OVERFLOW]  ts=10:12:39.473  dropped=bot  title=File:May 1942 - Vol 4 - DPLA - 6c40eafb4616c33670b7b876cce112d6 (page 95).jpg  queue=100/100
[OVERFLOW]  ts=10:12:39.475  dropped=bot  title=Terrorisme en 2009  queue=100/100
[HUMAN]    commons.wikimedia.org | drift=3.30ms | exec=0.08ms | total=3.37ms | DEADLINE MISS
[OVERFLOW]  ts=10:12:39.660  dropped=bot  title=Q19242889  queue=100/100
